arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
0.292093,-0.0407014,9.87848,-0.0156269,0.014521,-0.0503874,0,0,0,0,0,0,503731
0.306458,-0.00718261,9.88566,-0.00126168,0.0480398,-0.0432053,-1.2962e-05,4.80154e-05,-7.18324e-05,-9.94833e-09,3.68518e-08,-5.51313e-08,505266
0.306458,-0.0263362,9.87848,-0.00126168,0.0288862,-0.0503874,-1.48924e-05,0.000106864,-0.000143431,-3.12569e-08,1.55334e-07,-2.19808e-07,506796
0.320823,-0.0454898,9.91439,0.0131035,0.00973258,-0.0144749,-5.76231e-06,0.000136639,-0.00019344,-4.71817e-08,3.43075e-07,-4.79535e-07,508338
0.289698,-0.035913,9.91199,-0.0180211,0.0193094,-0.0168686,-9.24888e-06,0.00015723,-0.000215662,-5.78246e-08,5.51428e-07,-7.69588e-07,509756
0.306458,-0.0574608,9.92875,-0.00126168,-0.00223843,-0.000109673,-2.66805e-05,0.000172662,-0.00023101,-9.03048e-08,8.4965e-07,-1.17338e-06,511564
0.320823,-0.0742203,9.91678,0.0131035,-0.0189978,-0.0120802,-1.68044e-05,0.000154951,-0.000241177,-1.26571e-07,1.12288e-06,-1.56718e-06,513232
0.316035,-0.0670376,9.84975,0.00831512,-0.0118152,-0.0791178,2.55504e-07,0.000130408,-0.000313816,-1.39752e-07,1.35017e-06,-2.00924e-06,514825
0.320823,-0.0167594,9.89045,0.0131035,0.038463,-0.0384169,1.68014e-05,0.000150994,-0.000404611,-1.26576e-07,1.56755e-06,-2.56422e-06,516370
0.316035,-0.0694318,9.90242,0.00831512,-0.0142094,-0.0264454,3.27583e-05,0.000169062,-0.000452934,-8.96541e-08,1.80599e-06,-3.20309e-06,517860
0.296881,-0.0383072,9.93354,-0.0108385,0.0169152,0.00467873,3.05516e-05,0.000171429,-0.000471969,-3.42896e-08,2.10375e-06,-4.01192e-06,519609
0.277727,-0.035913,9.93115,-0.0299921,0.0193094,0.002285,-9.28783e-07,0.000199358,-0.0004666,-1.14504e-08,2.38963e-06,-4.73555e-06,521151
0.260968,-0.0550666,9.90242,-0.0467515,0.000155777,-0.0264454,-5.63377e-05,0.000213412,-0.000484043,-5.27968e-08,2.68765e-06,-5.42192e-06,522595
0.337582,-0.0646434,9.88566,0.0298629,-0.00942103,-0.0432053,-7.28125e-05,0.000204373,-0.000551988,-1.78783e-07,3.0952e-06,-6.43257e-06,524546
0.320823,-0.0526724,9.92875,0.0131035,0.00254998,-0.000109673,-4.23278e-05,0.000199498,-0.00058272,-2.60475e-07,3.38174e-06,-7.23764e-06,525965
0.299275,-0.0670376,9.94791,-0.00844428,-0.0118152,0.0190439,-3.85701e-05,0.000192026,-0.000567449,-3.25719e-07,3.69751e-06,-8.16525e-06,527578
0.325611,-0.0670376,9.94791,0.0178919,-0.0118152,0.0190439,-3.1697e-05,0.000174835,-0.00053974,-3.76838e-07,3.9644e-06,-8.97073e-06,529033
0.320823,-0.0550666,9.87608,0.0131035,0.000155777,-0.0527821,-8.76036e-06,0.000166207,-0.000564707,-4.06777e-07,4.21677e-06,-9.78802e-06,530513
0.275333,-0.0885855,9.89763,-0.0323863,-0.033363,-0.0312338,-2.36467e-05,0.000140571,-0.000629567,-4.31795e-07,4.4536e-06,-1.071e-05,532057
0.301669,-0.0550666,9.88805,-0.00605008,0.000155777,-0.0408106,-5.40306e-05,0.00011432,-0.000686518,-4.93199e-07,4.65509e-06,-1.17504e-05,533638
0.328006,-0.0646434,9.89045,0.0202861,-0.00942103,-0.0384169,-4.34105e-05,0.000107409,-0.000745621,-5.6589e-07,4.8205e-06,-1.28187e-05,535130
0.296881,-0.0430956,9.90002,-0.0108385,0.0121268,-0.0288401,-3.65893e-05,0.000109362,-0.000794181,-6.2365e-07,4.97701e-06,-1.39305e-05,536574
0.294487,-0.0454898,9.85932,-0.0132327,0.00973258,-0.069541,-5.41733e-05,0.00012533,-0.000866048,-6.89952e-07,5.14845e-06,-1.51433e-05,538035
0.344765,-0.0526724,9.88087,0.0370455,0.00254998,-0.0479937,-3.46587e-05,0.000135396,-0.000962368,-7.6275e-07,5.36212e-06,-1.66417e-05,539674
0.301669,-0.059855,9.95509,-0.00605008,-0.00463263,0.026227,-1.10557e-05,0.00013381,-0.000978943,-7.97561e-07,5.56712e-06,-1.812e-05,541197
0.277727,-0.035913,9.91918,-0.0299921,0.0193094,-0.00968647,-3.81954e-05,0.000144862,-0.000966488,-8.34647e-07,5.77696e-06,-1.95849e-05,542703
0.316035,-0.0502782,9.8689,0.00831512,0.00494418,-0.0599642,-5.47675e-05,0.000163403,-0.00101974,-9.05718e-07,6.01263e-06,-2.11034e-05,544232
0.316035,-0.0311246,9.86172,0.00831512,0.0240978,-0.0671473,-4.2062e-05,0.000185591,-0.00111685,-9.79695e-07,6.27926e-06,-2.27357e-05,545760
0.349553,-0.0287304,9.97903,0.0418339,0.026492,0.050169,-5.37796e-06,0.000222598,-0.00112927,-1.0144e-06,6.57785e-06,-2.43787e-05,547223
0.339977,-0.0287304,9.92636,0.0322571,0.026492,-0.0025034,4.9894e-05,0.000262124,-0.00109371,-9.81189e-07,6.93945e-06,-2.60371e-05,548715
0.304064,-0.0454898,9.88326,-0.00365588,0.00973258,-0.045599,7.11161e-05,0.000289003,-0.0011294,-8.91399e-07,7.34839e-06,-2.76866e-05,550199
0.323217,-0.0383072,9.87848,0.0154977,0.0169152,-0.0503874,8.06547e-05,0.000310467,-0.00120672,-7.69148e-07,7.83126e-06,-2.95684e-05,551810
0.296881,-0.0430956,9.91918,-0.0108385,0.0121268,-0.00968647,8.40769e-05,0.000331799,-0.00125084,-6.48152e-07,8.30301e-06,-3.13735e-05,553279
0.275333,-0.0622492,9.88566,-0.0323863,-0.00702683,-0.0432053,4.99293e-05,0.000335828,-0.00129263,-5.42287e-07,8.83043e-06,-3.33828e-05,554859
0.289698,-0.0454898,9.88326,-0.0180211,0.00973258,-0.045599,1.15189e-05,0.000337889,-0.0013603,-4.95464e-07,9.3438e-06,-3.54043e-05,556383
0.294487,-0.0526724,9.90721,-0.0132327,0.00254998,-0.021657,-1.15777e-05,0.000346966,-0.00141,-4.95507e-07,9.84991e-06,-3.74516e-05,557861
0.268151,-0.0454898,9.90242,-0.0395689,0.00973258,-0.0264454,-5.64854e-05,0.000357413,-0.00145091,-5.53395e-07,1.0449e-05,-3.98848e-05,559562
0.296881,-0.0430956,9.92157,-0.0108385,0.0121268,-0.00729179,-9.57276e-05,0.00037443,-0.00147717,-6.71893e-07,1.10187e-05,-4.21643e-05,561119
0.337582,-0.0383072,9.94073,0.0298629,0.0169152,0.0118618,-8.19539e-05,0.000395456,-0.00147387,-8.00534e-07,1.15761e-05,-4.43009e-05,562567
0.328006,-0.0622492,9.92157,0.0202861,-0.00702683,-0.00729179,-4.28627e-05,0.000403164,-0.0014703,-8.97828e-07,1.21986e-05,-4.65958e-05,564126
0.323217,-0.0287304,9.90721,0.0154977,0.026492,-0.021657,-1.86728e-05,0.000416323,-0.00148987,-9.39426e-07,1.27526e-05,-4.85969e-05,565478
0.320823,-0.0143652,9.94312,0.0131035,0.0408572,0.0142555,2.14892e-06,0.000465353,-0.00149526,-9.51456e-07,1.33945e-05,-5.07701e-05,566934
0.325611,-0.0646434,9.91439,0.0178919,-0.00942103,-0.0144749,2.53955e-05,0.00048893,-0.00149543,-9.30798e-07,1.41102e-05,-5.30131e-05,568434
0.304064,-0.059855,9.90002,-0.00365588,-0.00463263,-0.0288401,3.60796e-05,0.000478383,-0.00152793,-8.8466e-07,1.48362e-05,-5.52821e-05,569935
0.280122,-0.0574608,9.94073,-0.0275979,-0.00223843,0.0118618,1.1061e-05,0.000472883,-0.00154152,-8.46924e-07,1.55977e-05,-5.77392e-05,571536
0.287304,-0.0502782,9.91199,-0.0204153,0.00494418,-0.0168686,-2.5189e-05,0.000474926,-0.0015453,-8.57591e-07,1.63132e-05,-6.00698e-05,573046
