arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
0.409408,-0.0143652,9.76116,0.0184163,-0.00547118,0.00726414,0,0,0,0,0,0,2923831
0.366313,0.0047884,9.70609,-0.0246793,0.0136824,-0.047802,-4.73486e-06,6.20771e-06,-3.06466e-05,-3.57956e-09,4.69303e-09,-2.31688e-08,2925343
0.399832,-0.0287304,9.73961,0.00883949,-0.0198364,-0.0142832,-1.76919e-05,1.17378e-06,-8.14323e-05,-2.19246e-08,1.07311e-08,-1.14849e-07,2926979
0.349553,-0.0287304,9.75637,-0.0414388,-0.0198364,0.00247574,-4.2288e-05,-2.87593e-05,-9.0341e-05,-6.71794e-08,-1.00822e-08,-2.44452e-07,2928488
0.392649,-0.0263362,9.74679,0.00165689,-0.0174422,-0.00710106,-7.15675e-05,-5.61964e-05,-9.37452e-05,-1.50977e-07,-7.26096e-08,-3.7994e-07,2929960
0.361524,-0.023942,9.7851,-0.0294677,-0.015048,0.0312061,-9.49008e-05,-8.34556e-05,-7.3521e-05,-2.90644e-07,-1.89778e-07,-5.20276e-07,2931638
0.397437,-0.011971,9.79228,0.00644529,-0.00307698,0.0383892,-0.000112409,-9.72397e-05,-2.05938e-05,-4.48303e-07,-3.27196e-07,-5.9185e-07,2933159
0.383072,-0.00957681,9.76355,-0.00791994,-0.000682775,0.00965881,-0.000113548,-0.000100142,1.64993e-05,-6.22742e-07,-4.79575e-07,-5.95011e-07,2934703
0.361524,-0.0335188,9.72046,-0.0294677,-0.0246248,-0.0334368,-0.000141794,-0.000119262,-1.46497e-06,-8.15653e-07,-6.45335e-07,-5.83653e-07,2936214
0.354342,-0.00718261,9.73482,-0.0366504,0.00171143,-0.0190716,-0.000190259,-0.000136058,-3.99536e-05,-1.05905e-06,-8.32484e-07,-6.14013e-07,2937680
0.373495,0,9.72046,-0.0174967,0.00889403,-0.0334368,-0.000232683,-0.000127748,-8.10939e-05,-1.39042e-06,-1.03918e-06,-7.08853e-07,2939247
0.385466,0,9.7851,-0.00552574,0.00889403,0.0312061,-0.000249789,-0.000114532,-8.27513e-05,-1.7489e-06,-1.21919e-06,-8.3059e-07,2940733
0.399832,-0.035913,9.73243,0.00883949,-0.027019,-0.0214663,-0.000247388,-0.000127663,-7.56947e-05,-2.1091e-06,-1.39466e-06,-9.45384e-07,2942182
0.40462,-0.0646434,9.72525,0.0136279,-0.0557494,-0.0286484,-0.000230447,-0.000190071,-0.000113481,-2.46939e-06,-1.63423e-06,-1.08802e-06,2943690
0.40462,0,9.70609,0.0136279,0.00889403,-0.047802,-0.000205277,-0.000233341,-0.000184083,-2.87178e-06,-2.02525e-06,-1.36282e-06,2945537
0.428562,-0.0407014,9.76595,0.0375699,-0.0318074,0.0120525,-0.0001646,-0.000251546,-0.000212486,-3.16565e-06,-2.4105e-06,-1.6779e-06,2947126
0.392649,-0.047884,9.72764,0.00165689,-0.03899,-0.0262547,-0.000135886,-0.00030337,-0.000222882,-3.3856e-06,-2.81669e-06,-1.99659e-06,2948590
