arx,ary,arz,acx,acy,acz,vx,vy,vz,sx,sy,sz,t
0.361524,-0.0191536,9.74201,-0.0306513,-0.00715377,-0.0179644,0,0,0,0,0,0,2935779
0.407014,-0.00718261,9.71328,0.0148385,0.00481724,-0.0466948,-1.29902e-05,-1.91946e-06,-5.31175e-05,-1.06715e-08,-1.57683e-09,-4.3636e-08,2937422
0.385466,-0.0550666,9.7444,-0.00670931,-0.0430668,-0.0155697,-6.73071e-06,-3.13716e-05,-0.000101061,-2.58566e-08,-2.7211e-08,-1.62354e-07,2938962
0.385466,-0.0263362,9.76116,-0.00670931,-0.0143364,0.00118923,-1.65598e-05,-7.34194e-05,-0.000111595,-4.29169e-08,-1.0397e-07,-3.18124e-07,2940427
0.399832,-0.00957681,9.77792,0.00765592,0.00242304,0.0179491,-1.58101e-05,-8.28548e-05,-9.64372e-05,-6.85539e-08,-2.2774e-07,-4.82885e-07,2942011
0.383072,0.011971,9.76116,-0.00910351,0.0239709,0.00118923,-1.72244e-05,-5.7068e-05,-7.7739e-05,-1.00829e-07,-3.64444e-07,-6.53055e-07,2943965
0.378284,-0.011971,9.7444,-0.0138919,2.88384e-05,-0.0155697,-3.81043e-05,-3.52762e-05,-9.07965e-05,-1.51067e-07,-4.48293e-07,-8.06086e-07,2945781
0.447716,-0.0047884,9.77553,0.0555399,0.00721144,0.0155544,-5.70209e-06,-2.96433e-05,-9.08084e-05,-1.85148e-07,-4.988e-07,-9.47374e-07,2947337
0.414197,0.00957681,9.74201,0.0220211,0.0215767,-0.0179644,5.53385e-05,-6.98707e-06,-9.2705e-05,-1.46085e-07,-5.27628e-07,-1.0918e-06,2948911
0.392649,0.023942,9.75637,0.00047332,0.0359419,-0.00359917,7.27716e-05,3.75898e-05,-0.000109417,-4.67993e-08,-5.03911e-07,-1.24844e-06,2950461
0.411803,0.011971,9.78031,0.0196269,0.0239709,0.0203428,8.78468e-05,8.25243e-05,-9.6859e-05,7.36646e-08,-4.13825e-07,-1.40315e-06,2951961
0.42138,0.0191536,9.77553,0.0292037,0.0311535,0.0155544,0.00012674,0.000126431,-6.82668e-05,2.44583e-07,-2.47393e-07,-1.53467e-06,2953554
0.402226,0.0263362,9.77792,0.0100501,0.0383361,0.0179491,0.000155278,0.00017695,-4.39097e-05,4.49611e-07,-2.6835e-08,-1.61623e-06,2955008
0.418985,-0.0311246,9.79468,0.0268095,-0.0191248,0.034708,0.000181282,0.000190503,-6.76015e-06,6.87054e-07,2.32403e-07,-1.65197e-06,2956419
0.411803,-0.059855,9.75158,0.0196269,-0.0478552,-0.00838757,0.000217851,0.000137757,1.39672e-05,1.00137e-06,4.90908e-07,-1.6463e-06,2957994
0.380678,-0.0430956,9.69652,-0.0114977,-0.0310958,-0.0634537,0.000222721,9.04649e-05,-2.90657e-05,1.26527e-06,6.27612e-07,-1.65534e-06,2959192
0.409408,-0.0191536,9.74679,0.0172327,-0.00715377,-0.013176,0.000227742,5.69774e-05,-9.61549e-05,1.65965e-06,7.56698e-07,-1.76497e-06,2960943
0.426168,-0.0191536,9.71806,0.0339921,-0.00715377,-0.0419064,0.000266135,4.62539e-05,-0.000137439,2.02981e-06,8.3407e-07,-1.94005e-06,2962442
0.414197,-0.0047884,9.75877,0.0220211,0.00721144,-0.00120449,0.000306352,4.62953e-05,-0.000168393,2.44086e-06,9.0052e-07,-2.15964e-06,2963878
0.399832,-0.0167594,9.72046,0.00765592,-0.00475957,-0.0395117,0.000328966,4.81637e-05,-0.000199418,2.92497e-06,9.72498e-07,-2.43991e-06,2965402
0.385466,-0.0215478,9.74679,-0.00670931,-0.00954797,-0.013176,0.000329704,3.7011e-05,-0.000240488,3.43841e-06,1.03889e-06,-2.78282e-06,2966961
0.40462,-0.0335188,9.79228,0.0124443,-0.021519,0.0323143,0.000333939,1.4068e-05,-0.000226355,3.92851e-06,1.07661e-06,-3.12758e-06,2968438
0.392649,-0.047884,9.80186,0.00047332,-0.0358842,0.0418911,0.000344209,-3.15675e-05,-0.000167362,4.46763e-06,1.0627e-06,-3.44059e-06,2970028
0.368707,-0.0383072,9.72285,-0.0234687,-0.0263074,-0.037118,0.000327284,-7.73405e-05,-0.000163848,4.96185e-06,9.82545e-07,-3.68436e-06,2971500
0.380678,-0.0335188,9.76595,-0.0114977,-0.021519,0.00597763,0.000301182,-0.000113043,-0.000187095,5.431e-06,8.40424e-07,-3.94634e-06,2972993
0.366313,-0.035913,9.75158,-0.0258629,-0.0239132,-0.00838757,0.000273217,-0.000147049,-0.000188899,5.86094e-06,6.45746e-07,-4.22777e-06,2974490
0.368707,-0.0502782,9.76595,-0.0234687,-0.0382784,0.00597763,0.000237033,-0.000192666,-0.000190666,6.23521e-06,3.96565e-07,-4.50618e-06,2975957
0.402226,-0.011971,9.72525,0.0100501,2.88384e-05,-0.0347233,0.000226371,-0.000223056,-0.000213505,6.60338e-06,6.62733e-08,-4.82729e-06,2977546
0.378284,0.0047884,9.77313,-0.0138919,0.0167882,0.0131607,0.000223502,-0.000210493,-0.000229612,6.93944e-06,-2.57588e-07,-5.1583e-06,2979040
0.387861,0.011971,9.73004,-0.00431511,0.0239709,-0.0299349,0.000209746,-0.0001797,-0.000242285,7.26676e-06,-5.52379e-07,-5.51482e-06,2980551
0.387861,-0.0502782,9.80426,-0.00431511,-0.0382784,0.0442848,0.000201241,-0.0001938,-0.000228143,7.67178e-06,-9.20463e-07,-5.97842e-06,2982522
0.380678,-0.0335188,9.75877,-0.0114977,-0.021519,-0.00120449,0.000189437,-0.000238439,-0.000195983,7.96343e-06,-1.24313e-06,-6.29503e-06,2984015
0.445322,-0.011971,9.69652,0.0531457,2.88384e-05,-0.0634537,0.000223817,-0.000256179,-0.000249359,8.30457e-06,-1.65144e-06,-6.66266e-06,2985666
0.387861,-0.0167594,9.75637,-0.00431511,-0.00475957,-0.00359917,0.00026044,-0.000259727,-0.000299648,8.66776e-06,-2.03836e-06,-7.07442e-06,2987166
0.328006,-0.0311246,9.73722,-0.0641701,-0.0191248,-0.0227528,0.000209624,-0.000277449,-0.000319202,9.01655e-06,-2.43695e-06,-7.53361e-06,2988650
0.392649,-0.0215478,9.75158,0.00047332,-0.00954797,-0.00838757,0.000159017,-0.000300229,-0.000343943,9.30943e-06,-2.89591e-06,-8.06048e-06,2990239
0.395043,-0.0191536,9.75398,0.00286752,-0.00715377,-0.00599289,0.000161509,-0.000312689,-0.00035467,9.54855e-06,-3.35315e-06,-8.58164e-06,2991731
0.395043,-0.0047884,9.72525,0.00286752,0.00721144,-0.0347233,0.000165997,-0.000312644,-0.000386531,9.80482e-06,-3.84247e-06,-9.16163e-06,2993296
0.42138,-0.0167594,9.70131,0.0292037,-0.00475957,-0.0586653,0.000190355,-0.000310782,-0.000457459,1.00755e-05,-4.31597e-06,-9.80264e-06,2994815
0.407014,-0.0526724,9.77792,0.0148385,-0.0406726,0.0179491,0.000222748,-0.000344197,-0.000487406,1.03793e-05,-4.7977e-06,-1.04976e-05,2996286
0.387861,-0.0526724,9.75877,-0.00431511,-0.0406726,-0.00120449,0.000231383,-0.000410941,-0.000473667,1.07519e-05,-5.41729e-06,-1.12862e-05,2997927
0.418985,-0.0143652,9.73961,0.0268095,-0.00236536,-0.0203581,0.000247815,-0.00044238,-0.000489419,1.1102e-05,-6.04064e-06,-1.19897e-05,2999388
0.392649,-0.0047884,9.79947,0.00047332,0.00721144,0.0394964,0.000269055,-0.000438607,-0.000474519,1.15044e-05,-6.72649e-06,-1.27401e-05,3000945
0.395043,-0.0191536,9.80426,0.00286752,-0.00715377,0.0442848,0.000271498,-0.000438565,-0.000413233,1.18998e-05,-7.36814e-06,-1.33895e-05,3002408
0.390255,-0.0047884,9.74201,-0.00192088,0.00721144,-0.0179644,0.000272187,-0.000438523,-0.000394085,1.22953e-05,-8.00623e-06,-1.39768e-05,3003863
0.399832,-0.00718261,9.74679,0.00765592,0.00481724,-0.013176,0.000276755,-0.000428942,-0.000418889,1.27325e-05,-8.69716e-06,-1.46244e-05,3005456
0.392649,-0.0287304,9.76834,0.00047332,-0.0167306,0.00837231,0.000282876,-0.000437913,-0.000422506,1.31539e-05,-9.3499e-06,-1.52579e-05,3006962
0.433351,-0.0263362,9.75398,0.0411747,-0.0143364,-0.00599289,0.000313488,-0.000460747,-0.000420757,1.35923e-05,-1.00104e-05,-1.58777e-05,3008432
0.402226,-0.035913,9.77313,0.0100501,-0.0239132,0.0131607,0.000353827,-0.000490869,-0.000415112,1.41178e-05,-1.07598e-05,-1.6536e-05,3010007
0.378284,-0.00957681,9.77313,-0.0138919,0.00242304,0.0131607,0.000350383,-0.000510135,-0.000391515,1.47491e-05,-1.16572e-05,-1.72591e-05,3011800
0.395043,-0.023942,9.72764,0.00286752,-0.0119422,-0.0323296,0.000341431,-0.000517864,-0.00040708,1.53109e-05,-1.24919e-05,-1.79076e-05,3013424
0.435745,-0.0311246,9.76595,0.0435689,-0.0191248,0.00597763,0.000376677,-0.000541444,-0.000427081,1.58559e-05,-1.3296e-05,-1.85407e-05,3014942
0.414197,-0.035913,9.73004,0.0220211,-0.0239132,-0.0299349,0.000427312,-0.000574669,-0.000445576,1.64766e-05,-1.41576e-05,-1.92144e-05,3016486
