t,a,z,v,d
0.0,0.023,0.023,0.0,0.0
0.0,0.023,0.023,0.0,0.0
0.0010000000038417056,0.023,0.023,0.0,0.0
0.0020000000004074536,0.023,0.023,0.0,0.0
0.0020000000004074536,0.023,0.023,0.0,0.0
0.00900000000547152,0.023,0.023,0.0,0.0
0.010000000002037268,0.004,0.004,0.0,0.0
0.011000000005878974,0.004,0.004,0.0,0.0
0.011000000005878974,0.004,0.004,0.0,0.0
0.012000000002444722,0.004,0.004,0.0,0.0
0.013000000006286427,0.004,0.004,0.0,0.0
0.014000000002852175,0.004,0.004,0.0,0.0
0.015000000006693881,0.004,0.004,0.0,0.0
0.024000000004889444,-0.031,-0.031,-0.0,0.0
0.024000000004889444,-0.031,-0.031,-0.0,0.0
0.02500000000145519,-0.031,-0.031,-0.0,0.0
0.026000000005296897,-0.031,-0.031,-0.0,0.0
0.027000000001862645,-0.031,-0.031,-0.0,0.0
0.03200000000651926,-0.042,-0.042,-0.0,-0.0
0.033000000003085006,-0.042,-0.042,-0.0,-0.0
0.03400000000692671,-0.042,-0.042,-0.0,-0.0
0.03500000000349246,-0.042,-0.042,-0.0,-0.0
0.03900000000430737,0.028,0.028,-0.0,-0.0
0.040000000000873115,0.028,0.028,-0.0,-0.0
0.04100000000471482,0.028,0.028,-0.0,-0.0
0.04200000000128057,0.028,0.028,-0.0,-0.0
0.04200000000128057,0.028,0.028,-0.0,-0.0
0.043000000005122274,0.028,0.028,-0.0,-0.0
0.049000000006344635,-0.059,-0.059,-0.001,-0.0
0.05000000000291038,-0.059,-0.059,-0.001,-0.0
0.05000000000291038,-0.059,-0.059,-0.001,-0.0
0.05100000000675209,-0.059,-0.059,-0.001,-0.0
0.05200000000331784,-0.059,-0.059,-0.001,-0.0
0.052999999999883585,-0.059,-0.059,-0.001,-0.0
0.05400000000372529,-0.059,-0.059,-0.001,-0.0
0.05400000000372529,-0.059,-0.059,-0.001,-0.0
0.05500000000029104,-0.059,-0.059,-0.001,-0.0
0.0650000000023283,0.027,0.027,-0.001,-0.0
0.06600000000617001,0.027,0.027,-0.001,-0.0
0.06600000000617001,0.027,0.027,-0.001,-0.0
0.06700000000273576,0.027,0.027,-0.001,-0.0
0.07200000000011642,0.039,0.022,-0.001,-0.0
0.07300000000395812,0.039,0.022,-0.001,-0.0
0.07500000000436557,0.039,0.022,-0.001,-0.0
0.08100000000558794,-0.021,-0.021,-0.0,-0.0
