t,a,z,v,d
0.0,-0.012,-0.012,0.0,0.0
0.0010000000038417056,-0.012,-0.012,0.0,0.0
0.0010000000038417056,-0.012,-0.012,0.0,0.0
0.006000000001222361,-0.012,-0.012,0.0,0.0
0.006999999997788109,0.006,0.006,-0.0,-0.0
0.008000000001629815,0.006,0.006,-0.0,-0.0
0.008000000001629815,0.006,0.006,-0.0,-0.0
0.008999999998195563,0.006,0.006,-0.0,-0.0
0.010000000002037268,0.006,0.006,-0.0,-0.0
0.016999999999825377,-0.039,-0.013,-0.0,-0.0
0.018000000003667083,-0.039,-0.013,-0.0,-0.0
0.01900000000023283,-0.039,-0.013,-0.0,-0.0
0.020000000004074536,-0.039,-0.013,-0.0,-0.0
0.021000000000640284,-0.039,-0.013,-0.0,-0.0
0.031000000002677552,-0.053,-0.053,-0.001,-0.0
0.0319999999992433,-0.053,-0.053,-0.001,-0.0
0.033000000003085006,-0.053,-0.053,-0.001,-0.0
0.033000000003085006,-0.053,-0.053,-0.001,-0.0
0.033999999999650754,-0.053,-0.053,-0.001,-0.0
0.03900000000430737,-0.005,-0.005,-0.001,-0.0
0.040000000000873115,-0.005,-0.005,-0.001,-0.0
0.040000000000873115,-0.005,-0.005,-0.001,-0.0
0.04099999999743886,-0.005,-0.005,-0.001,-0.0
0.04200000000128057,-0.005,-0.005,-0.001,-0.0
0.04800000000250293,0.025,0.025,-0.001,-0.0
0.04800000000250293,0.025,0.025,-0.001,-0.0
0.04899999999906868,0.025,0.025,-0.001,-0.0
0.05400000000372529,0.002,0.002,-0.001,-0.0
0.05400000000372529,0.002,0.002,-0.001,-0.0
0.05500000000029104,0.002,0.002,-0.001,-0.0
0.056000000004132744,0.002,0.002,-0.001,-0.0
0.05700000000069849,0.002,0.002,-0.001,-0.0
0.05700000000069849,0.002,0.002,-0.001,-0.0
0.0580000000045402,0.002,0.002,-0.001,-0.0
0.0650000000023283,0.053,0.053,-0.001,-0.0
0.06599999999889405,0.053,0.053,-0.001,-0.0
0.06700000000273576,0.053,0.053,-0.001,-0.0
0.06700000000273576,0.053,0.053,-0.001,-0.0
0.06799999999930151,0.053,0.053,-0.001,-0.0
0.06900000000314321,0.053,0.053,-0.001,-0.0
0.06900000000314321,0.053,0.053,-0.001,-0.0
0.06999999999970896,0.053,0.053,-0.001,-0.0
