t,a,z,v,d
0.0,-0.008,-0.008,0.0,0.0
0.0010000000038417056,-0.008,-0.008,0.0,0.0
0.0010000000038417056,-0.008,-0.008,0.0,0.0
0.0020000000004074536,-0.008,-0.008,0.0,0.0
0.0030000000042491592,-0.008,-0.008,0.0,0.0
0.008999999998195563,-0.015,-0.015,-0.0,-0.0
0.010000000002037268,-0.015,-0.015,-0.0,-0.0
0.010000000002037268,-0.015,-0.015,-0.0,-0.0
0.010999999998603016,-0.015,-0.015,-0.0,-0.0
0.016999999999825377,0.026,0.026,-0.0,-0.0
0.016999999999825377,0.026,0.026,-0.0,-0.0
0.018000000003667083,0.026,0.026,-0.0,-0.0
0.01900000000023283,0.026,0.026,-0.0,-0.0
0.023999999997613486,0.016,0.016,0.0,-0.0
0.02500000000145519,0.016,0.016,0.0,-0.0
0.02599999999802094,0.016,0.016,0.0,-0.0
0.02599999999802094,0.016,0.016,0.0,-0.0
0.027000000001862645,0.016,0.016,0.0,-0.0
0.0319999999992433,-0.007,-0.007,0.0,-0.0
0.033000000003085006,-0.007,-0.007,0.0,-0.0
0.033000000003085006,-0.007,-0.007,0.0,-0.0
0.033999999999650754,-0.007,-0.007,0.0,-0.0
0.03500000000349246,-0.007,-0.007,0.0,-0.0
0.04100000000471482,0.031,0.031,0.0,0.0
0.04100000000471482,0.031,0.031,0.0,0.0
0.04200000000128057,0.031,0.031,0.0,0.0
0.04299999999784632,0.031,0.031,0.0,0.0
0.046999999998661224,0.002,0.002,0.0,0.0
0.04800000000250293,0.002,0.002,0.0,0.0
0.04899999999906868,0.002,0.002,0.0,0.0
0.05000000000291038,0.002,0.002,0.0,0.0
0.05099999999947613,0.002,0.002,0.0,0.0
0.05700000000069849,-0.054,-0.036,0.0,0.0
0.0580000000045402,-0.06,-0.036,0.0,0.0
0.059000000001105946,-0.06,-0.036,0.0,0.0
0.059999999997671694,-0.06,-0.036,0.0,0.0
0.0610000000015134,-0.06,-0.036,0.0,0.0
0.06199999999807915,-0.06,-0.036,0.0,0.0
0.07200000000011642,-0.018,-0.017,-0.001,0.0
0.07300000000395812,-0.017,-0.017,-0.001,0.0
0.07400000000052387,-0.017,-0.017,-0.001,0.0
0.07400000000052387,-0.017,-0.017,-0.001,0.0
0.07500000000436557,-0.017,-0.017,-0.001,0.0
0.08000000000174623,0.007,0.007,-0.001,-0.0
0.08099999999831198,0.007,0.007,-0.001,-0.0
0.08200000000215368,0.007,0.007,-0.001,-0.0
0.08200000000215368,0.007,0.007,-0.001,-0.0
0.08800000000337604,0.007,0.007,-0.001,-0.0
0.08899999999994179,-0.053,-0.053,-0.001,-0.0
0.08899999999994179,-0.053,-0.053,-0.001,-0.0
0.0900000000037835,-0.053,-0.053,-0.001,-0.0
0.09100000000034925,-0.053,-0.053,-0.001,-0.0
0.0959999999977299,-0.016,-0.016,-0.001,-0.0
0.0970000000015716,-0.016,-0.016,-0.001,-0.0
0.09799999999813735,-0.016,-0.016,-0.001,-0.0
0.09799999999813735,-0.016,-0.016,-0.001,-0.0
0.09900000000197906,-0.016,-0.016,-0.001,-0.0
0.10399999999935972,0.028,0.028,-0.001,-0.0
0.10500000000320142,0.028,0.028,-0.001,-0.0
0.10599999999976717,0.028,0.028,-0.001,-0.0
0.10599999999976717,0.028,0.028,-0.001,-0.0
0.11200000000098953,0.028,0.028,-0.001,-0.0
0.11299999999755528,-0.005,-0.005,-0.001,-0.0
0.11299999999755528,-0.005,-0.005,-0.001,-0.0
0.11400000000139698,-0.005,-0.005,-0.001,-0.0
0.11499999999796273,-0.005,-0.005,-0.001,-0.0
0.12000000000261934,0.044,0.025,-0.001,-0.0
0.12099999999918509,0.044,0.025,-0.001,-0.0
0.1220000000030268,0.044,0.025,-0.001,-0.0
0.12800000000424916,-0.043,-0.044,-0.001,-0.0
0.1290000000008149,-0.044,-0.044,-0.001,-0.0
0.1300000000046566,-0.044,-0.044,-0.001,-0.0
0.1300000000046566,-0.044,-0.044,-0.001,-0.0
0.13100000000122236,-0.044,-0.044,-0.001,-0.0
0.13599999999860302,0.025,0.025,-0.001,-0.0
0.13700000000244472,0.025,0.025,-0.001,-0.0
0.13799999999901047,0.025,0.025,-0.001,-0.0
0.13799999999901047,0.025,0.025,-0.001,-0.0
0.13900000000285218,0.025,0.025,-0.001,-0.0
0.14500000000407454,0.028,0.028,-0.001,-0.0
0.14500000000407454,0.028,0.028,-0.001,-0.0
0.14600000000064028,0.028,0.028,-0.001,-0.0
0.147000000004482,0.028,0.028,-0.001,-0.0
0.15200000000186265,0.019,0.019,-0.0,-0.0
0.1529999999984284,0.019,0.019,-0.0,-0.0
0.1529999999984284,0.019,0.019,-0.0,-0.0
0.1540000000022701,0.019,0.019,-0.0,-0.0
0.15499999999883585,0.019,0.019,-0.0,-0.0
0.16000000000349246,0.045,0.008,-0.0,-0.0
0.1620000000038999,0.045,0.008,-0.0,-0.0
0.16300000000046566,0.045,0.008,-0.0,-0.0
0.16799999999784632,0.031,0.031,0.0,-0.0
0.16799999999784632,0.031,0.031,0.0,-0.0
0.16900000000168802,0.031,0.031,0.0,-0.0
0.16999999999825377,0.031,0.031,0.0,-0.0
0.17100000000209548,0.031,0.031,0.0,-0.0
0.17700000000331784,0.028,0.028,0.0,-0.0
0.17700000000331784,0.028,0.028,0.0,-0.0
0.17799999999988358,0.028,0.028,0.0,-0.0
0.1790000000037253,0.028,0.028,0.0,-0.0
0.1790000000037253,0.028,0.028,0.0,-0.0
0.18400000000110595,-0.004,-0.004,0.0,-0.0
0.1849999999976717,-0.004,-0.004,0.0,-0.0
0.1860000000015134,-0.004,-0.004,0.0,-0.0
0.18699999999807915,-0.004,-0.004,0.0,-0.0
0.19200000000273576,0.012,0.013,0.001,-0.0
