t,a,z,v,d
0.0,-0.05,-0.028,0.0,0.0
0.0020000000004074536,-0.05,-0.028,0.0,0.0
0.0029999999969732016,-0.05,-0.028,0.0,0.0
0.004000000000814907,-0.05,-0.028,0.0,0.0
0.010999999998603016,0.003,0.003,-0.0,-0.0
0.012000000002444722,0.003,0.003,-0.0,-0.0
0.01299999999901047,0.003,0.003,-0.0,-0.0
0.014000000002852175,0.003,0.003,-0.0,-0.0
0.014000000002852175,0.003,0.003,-0.0,-0.0
0.014999999999417923,0.003,0.003,-0.0,-0.0
0.01599999999598367,0.003,0.003,-0.0,-0.0
0.023000000001047738,0.036,0.021,-0.0,-0.0
0.02500000000145519,0.036,0.021,-0.0,-0.0
0.02599999999802094,0.036,0.021,-0.0,-0.0
0.027000000001862645,0.036,0.021,-0.0,-0.0
0.027999999998428393,0.036,0.021,-0.0,-0.0
0.03600000000005821,-0.02,-0.02,0.0,-0.0
0.03600000000005821,-0.02,-0.02,0.0,-0.0
0.036999999996623956,-0.02,-0.02,0.0,-0.0
0.03800000000046566,-0.02,-0.02,0.0,-0.0
0.03800000000046566,-0.02,-0.02,0.0,-0.0
0.03899999999703141,-0.02,-0.02,0.0,-0.0
0.040000000000873115,-0.02,-0.02,0.0,-0.0
0.046999999998661224,0.016,0.016,-0.0,-0.0
0.04800000000250293,0.016,0.016,-0.0,-0.0
0.049999999995634425,0.054,0.054,0.0,-0.0
0.05099999999947613,0.054,0.054,0.0,-0.0
0.05199999999604188,0.054,0.054,0.0,-0.0
0.052999999999883585,0.054,0.054,0.0,-0.0
0.052999999999883585,0.054,0.054,0.0,-0.0
0.05399999999644933,0.054,0.054,0.0,-0.0
0.05500000000029104,0.054,0.054,0.0,-0.0
0.05500000000029104,0.054,0.054,0.0,-0.0
0.055999999996856786,0.054,0.054,0.0,-0.0
0.0650000000023283,0.04,0.04,0.001,0.0
0.06599999999889405,0.04,0.04,0.001,0.0
0.06599999999889405,0.04,0.04,0.001,0.0
0.06700000000273576,0.04,0.04,0.001,0.0
0.06799999999930151,0.04,0.04,0.001,0.0
0.07400000000052387,0.022,-0.002,0.001,0.0
0.07499999999708962,0.022,-0.002,0.001,0.0
0.07600000000093132,0.022,-0.002,0.001,0.0
0.07699999999749707,0.022,-0.002,0.001,0.0
0.07800000000133878,0.022,-0.002,0.001,0.0
0.07899999999790452,0.022,-0.002,0.001,0.0
0.08899999999994179,0.007,0.007,0.001,0.0
0.08999999999650754,0.007,0.007,0.001,0.0
0.09100000000034925,0.007,0.007,0.001,0.0
0.091999999996915,0.007,0.007,0.001,0.0
0.0959999999977299,-0.03,-0.034,0.001,0.0
0.0970000000015716,-0.034,-0.034,0.001,0.0
0.09799999999813735,-0.034,-0.034,0.001,0.0
0.09799999999813735,-0.034,-0.034,0.001,0.0
0.09900000000197906,-0.034,-0.034,0.001,0.0
0.09999999999854481,-0.034,-0.034,0.001,0.0
0.10599999999976717,0.021,0.021,0.001,0.0
0.10699999999633292,0.021,0.021,0.001,0.0
0.10699999999633292,0.021,0.021,0.001,0.0
0.10800000000017462,0.021,0.021,0.001,0.0
0.10899999999674037,0.021,0.021,0.001,0.0
0.10899999999674037,0.021,0.021,0.001,0.0
0.11000000000058208,0.021,0.021,0.001,0.0
0.11099999999714782,0.021,0.021,0.001,0.0
0.11099999999714782,0.021,0.021,0.001,0.0
0.12099999999918509,0.021,0.021,0.001,0.0
0.12199999999575084,0.014,0.014,0.001,0.0
0.12199999999575084,0.014,0.014,0.001,0.0
0.12299999999959255,0.014,0.014,0.001,0.0
0.1239999999961583,0.014,0.014,0.001,0.0
0.1290000000008149,-0.009,-0.009,0.001,0.0
0.1290000000008149,-0.009,-0.009,0.001,0.0
0.12999999999738066,-0.009,-0.009,0.001,0.0
0.13100000000122236,-0.009,-0.009,0.001,0.0
0.13100000000122236,-0.009,-0.009,0.001,0.0
0.13700000000244472,-0.019,-0.02,0.001,0.0
0.13799999999901047,-0.02,-0.02,0.001,0.0
0.13900000000285218,-0.02,-0.02,0.001,0.0
0.13900000000285218,-0.02,-0.02,0.001,0.0
0.13999999999941792,-0.02,-0.02,0.001,0.0
0.14499999999679858,-0.012,-0.012,0.001,0.0
0.14600000000064028,-0.012,-0.012,0.001,0.0
0.14600000000064028,-0.012,-0.012,0.001,0.0
0.14699999999720603,-0.012,-0.012,0.001,0.0
0.14800000000104774,-0.012,-0.012,0.001,0.0
0.1540000000022701,-0.015,-0.016,0.001,0.0
0.1540000000022701,-0.016,-0.016,0.001,0.0
0.15499999999883585,-0.016,-0.016,0.001,0.0
0.15600000000267755,-0.016,-0.016,0.001,0.0
0.15600000000267755,-0.016,-0.016,0.001,0.0
0.1569999999992433,-0.016,-0.016,0.001,0.0
0.15799999999580905,-0.016,-0.016,0.001,0.0
0.15799999999580905,-0.016,-0.016,0.001,0.0
0.15899999999965075,-0.016,-0.016,0.001,0.0
0.1599999999962165,-0.016,-0.016,0.001,0.0
0.16900000000168802,-0.005,-0.005,0.001,0.0
0.16999999999825377,-0.005,-0.005,0.001,0.0
0.17100000000209548,-0.005,-0.005,0.001,0.0
0.17199999999866122,-0.005,-0.005,0.001,0.0
0.17699999999604188,-0.017,-0.017,0.001,0.0
0.17699999999604188,-0.017,-0.017,0.001,0.0
0.17799999999988358,-0.017,-0.017,0.001,0.0
0.17899999999644933,-0.017,-0.017,0.001,0.0
0.17899999999644933,-0.017,-0.017,0.001,0.0
0.18000000000029104,-0.017,-0.017,0.001,0.0
0.1860000000015134,0.047,0.017,0.001,0.0
0.18699999999807915,0.047,0.017,0.001,0.0
0.19700000000011642,-0.019,-0.003,0.001,0.0
0.19799999999668216,-0.019,-0.003,0.001,0.0
0.19900000000052387,-0.019,-0.003,0.001,0.0
0.19999999999708962,-0.019,-0.003,0.001,0.0
0.20399999999790452,0.019,0.019,0.001,0.0
0.20399999999790452,0.019,0.019,0.001,0.0
0.20500000000174623,0.019,0.019,0.001,0.0
0.20599999999831198,0.019,0.019,0.001,0.0
0.20700000000215368,0.019,0.019,0.001,0.0
0.20700000000215368,0.019,0.019,0.001,0.0
0.20799999999871943,0.019,0.019,0.001,0.0
0.21600000000034925,-0.001,-0.001,0.001,0.0
0.21600000000034925,-0.001,-0.001,0.001,0.0
0.216999999996915,-0.001,-0.001,0.001,0.0
0.2180000000007567,-0.001,-0.001,0.001,0.0
0.2180000000007567,-0.001,-0.001,0.001,0.0
0.21899999999732245,-0.001,-0.001,0.001,0.0
0.22000000000116415,-0.001,-0.001,0.001,0.0
0.22699999999895226,0.009,0.009,0.001,0.0
0.22800000000279397,0.009,0.009,0.001,0.0
0.22899999999935972,0.009,0.009,0.001,0.0
