t,a,v,d
0.0,0.025,0.0,0.0
0.01600000000325963,0.01,0.0,0.0
0.01600000000325963,0.009,0.0,0.0
0.023000000001047738,0.007,0.0,0.0
0.033000000003085006,-0.014,0.0,0.0
0.033000000003085006,-0.015,0.0,0.0
0.033000000003085006,-0.016,0.0,0.0
0.03800000000046566,-0.013,0.0,0.0
0.040000000000873115,0.013,0.0,0.0
0.040000000000873115,0.015,0.0,0.0
0.055999999996856786,0.017,0.0,0.0
0.07200000000011642,-0.001,0.001,0.0
0.07200000000011642,-0.003,0.001,0.0
0.07899999999790452,-0.026,0.0,0.0
0.07899999999790452,-0.028,0.0,0.0
0.08800000000337604,-0.002,0.0,0.0
0.10399999999935972,0.002,0.0,0.0
0.12000000000261934,0.007,0.0,0.0
0.13599999999860302,0.007,0.001,0.0
0.14299999999639113,0.028,0.001,0.0
0.14299999999639113,0.03,0.001,0.0
0.15200000000186265,0.017,0.001,0.0
0.15200000000186265,0.016,0.001,0.0
0.15200000000186265,0.015,0.001,0.0
0.15899999999965075,-0.02,0.001,0.0
0.15899999999965075,-0.022,0.001,0.0
0.15899999999965075,-0.023,0.001,0.0
0.16799999999784632,0.02,0.001,0.0
0.16799999999784632,0.023,0.001,0.0
0.18400000000110595,-0.009,0.001,0.0
0.18400000000110595,-0.011,0.001,0.0
0.19099999999889405,-0.031,0.001,0.0
0.19099999999889405,-0.032,0.001,0.0
0.19999999999708962,0.004,0.001,0.0
0.19999999999708962,0.007,0.001,0.0
0.21600000000034925,0.016,0.001,0.0
0.21600000000034925,0.017,0.001,0.0
0.22299999999813735,0.011,0.001,0.0
0.22299999999813735,0.01,0.001,0.0
0.23199999999633292,-0.012,0.001,0.0
0.23199999999633292,-0.014,0.001,0.0
0.2640000000028522,0.046,0.001,0.0
0.2640000000028522,0.051,0.001,0.0
0.27999999999883585,0.045,0.002,0.0
0.2960000000020955,0.028,0.002,0.0
0.2960000000020955,0.027,0.002,0.0
0.31199999999807915,-0.002,0.003,0.0
0.31199999999807915,-0.004,0.003,0.0
0.31199999999807915,-0.005,0.003,0.0
0.3190000000031432,-0.024,0.002,0.0
0.31999999999970896,-0.02,0.002,0.0
0.32699999999749707,0.019,0.002,0.0
0.32699999999749707,0.023,0.002,0.0
0.3360000000029686,-0.001,0.003,0.0
0.3360000000029686,-0.003,0.003,0.0
0.35199999999895226,-0.024,0.002,0.0
0.35199999999895226,-0.025,0.002,0.0
0.35899999999674037,0.029,0.002,0.0
0.35899999999674037,0.033,0.002,0.0
0.3680000000022119,0.014,0.003,0.0
0.3680000000022119,0.013,0.003,0.0
0.375,-0.029,0.003,0.0
0.375,-0.033,0.003,0.0
0.38399999999819556,0.036,0.003,0.0
0.38399999999819556,0.042,0.003,0.0
0.39100000000325963,0.022,0.003,0.0
0.39100000000325963,0.02,0.003,0.0
0.4000000000014552,-0.006,0.003,0.0
0.4000000000014552,-0.008,0.003,0.0
0.41599999999743886,0.0,0.003,0.001
0.41599999999743886,0.001,0.003,0.001
0.42300000000250293,0.025,0.003,0.001
0.42300000000250293,0.027,0.003,0.001
0.4320000000006985,0.038,0.003,0.001
0.4320000000006985,0.039,0.003,0.001
0.4389999999984866,0.022,0.003,0.001
0.4389999999984866,0.021,0.003,0.001
0.44799999999668216,0.018,0.004,0.001
0.4639999999999418,0.035,0.004,0.001
0.4639999999999418,0.036,0.004,0.001
0.4709999999977299,-0.013,0.004,0.001
0.4720000000015716,-0.017,0.004,0.001
0.4800000000032014,-0.007,0.004,0.001
0.4800000000032014,-0.006,0.004,0.001
0.48700000000098953,-0.014,0.004,0.001
0.48700000000098953,-0.015,0.004,0.001
0.4959999999991851,0.017,0.004,0.001
0.4959999999991851,0.019,0.004,0.001
0.5120000000024447,0.03,0.004,0.001
0.5120000000024447,0.031,0.004,0.001
0.5190000000002328,-0.013,0.004,0.001
0.5190000000002328,-0.017,0.004,0.001
0.5210000000006403,0.001,0.004,0.001
0.5210000000006403,0.003,0.004,0.001
0.5349999999962165,0.018,0.004,0.001
0.5360000000000582,0.019,0.004,0.001
0.544000000001688,0.022,0.005,0.001
0.5509999999994761,0.007,0.005,0.001
0.5509999999994761,0.006,0.005,0.001
0.5599999999976717,0.014,0.005,0.001
0.5599999999976717,0.015,0.005,0.001
0.5670000000027358,-0.006,0.005,0.001
0.5670000000027358,-0.008,0.005,0.001
0.5760000000009313,-0.016,0.005,0.001
0.5760000000009313,-0.017,0.005,0.001
0.5910000000003492,0.013,0.005,0.001
0.591999999996915,0.016,0.005,0.001
0.5990000000019791,-0.012,0.005,0.001
0.5999999999985448,-0.015,0.005,0.001
0.6069999999963329,0.014,0.005,0.001
0.6080000000001746,0.017,0.005,0.001
0.6149999999979627,0.007,0.005,0.001
0.6160000000018044,0.006,0.005,0.001
0.6240000000034343,0.029,0.005,0.001
0.6240000000034343,0.031,0.005,0.001
0.6310000000012224,0.008,0.005,0.001
0.6319999999977881,0.006,0.005,0.001
0.6399999999994179,0.012,0.005,0.001
0.646999999997206,0.008,0.005,0.002
0.6560000000026776,0.014,0.005,0.002
0.6630000000004657,0.001,0.005,0.002
0.6630000000004657,-0.0,0.005,0.002
0.6719999999986612,0.032,0.006,0.002
0.6719999999986612,0.035,0.006,0.002
0.6789999999964493,0.01,0.006,0.002
0.6789999999964493,0.008,0.006,0.002
0.680000000000291,0.007,0.006,0.002
0.6880000000019209,-0.002,0.006,0.002
0.6880000000019209,-0.003,0.006,0.002
0.694999999999709,0.024,0.006,0.002
0.694999999999709,0.027,0.006,0.002
0.7039999999979045,-0.009,0.006,0.002
0.7039999999979045,-0.012,0.006,0.002
0.7039999999979045,-0.013,0.006,0.002
0.7110000000029686,-0.042,0.006,0.002
0.7110000000029686,-0.044,0.006,0.002
0.7200000000011642,-0.009,0.005,0.002
0.7200000000011642,-0.006,0.005,0.002
0.7200000000011642,-0.005,0.005,0.002
0.7359999999971478,0.013,0.006,0.002
0.7359999999971478,0.014,0.006,0.002
0.7430000000022119,0.006,0.006,0.002
0.7520000000004075,0.017,0.006,0.002
0.7520000000004075,0.018,0.006,0.002
0.7679999999963911,0.007,0.006,0.002
0.7679999999963911,0.006,0.006,0.002
0.7750000000014552,-0.002,0.006,0.002
0.7839999999996508,0.005,0.006,0.002
0.7839999999996508,0.006,0.006,0.002
0.8000000000029104,-0.014,0.006,0.002
0.8000000000029104,-0.015,0.006,0.002
0.8000000000029104,-0.016,0.006,0.002
0.815999999998894,0.009,0.006,0.002
0.815999999998894,0.011,0.006,0.002
0.8260000000009313,0.021,0.006,0.003
0.8260000000009313,0.022,0.006,0.003
0.838000000003376,0.015,0.006,0.003
0.838000000003376,0.014,0.006,0.003
0.8499999999985448,-0.002,0.006,0.003
0.8499999999985448,-0.003,0.006,0.003
0.8609999999971478,0.0,0.006,0.003
0.8620000000009895,0.001,0.006,0.003
0.8740000000034343,0.024,0.006,0.003
0.8740000000034343,0.026,0.006,0.003
0.8850000000020373,0.01,0.006,0.003
0.8850000000020373,0.008,0.006,0.003
0.8980000000010477,0.023,0.007,0.003
0.8989999999976135,0.024,0.007,0.003
0.9089999999996508,-0.037,0.007,0.003
0.9089999999996508,-0.042,0.007,0.003
0.9089999999996508,-0.043,0.007,0.003
0.9230000000025029,-0.054,0.006,0.003
0.9230000000025029,-0.055,0.006,0.003
0.9320000000006985,-0.015,0.006,0.003
0.9320000000006985,-0.012,0.006,0.003
0.9389999999984866,-0.035,0.005,0.003
0.9389999999984866,-0.036,0.005,0.003
0.9389999999984866,-0.037,0.005,0.003
0.9470000000001164,-0.011,0.005,0.003
0.9470000000001164,-0.01,0.005,0.003
0.9470000000001164,-0.009,0.005,0.003
0.955999999998312,-0.001,0.005,0.003
0.955999999998312,-0.0,0.005,0.003
0.9720000000015716,-0.015,0.005,0.003
0.9720000000015716,-0.017,0.005,0.003
0.9789999999993597,0.008,0.005,0.003
0.9789999999993597,0.01,0.005,0.003
0.9879999999975553,-0.018,0.005,0.003
0.9879999999975553,-0.02,0.005,0.003
0.9950000000026193,0.034,0.005,0.004
0.9950000000026193,0.038,0.005,0.004
1.004000000000815,-0.005,0.005,0.004
1.004000000000815,-0.008,0.005,0.004
1.0199999999967986,0.006,0.005,0.004
1.0199999999967986,0.007,0.005,0.004
1.0210000000006403,0.013,0.005,0.004
1.0210000000006403,0.014,0.005,0.004
1.0339999999996508,0.043,0.006,0.004
1.0339999999996508,0.046,0.006,0.004
1.0360000000000582,-0.012,0.006,0.004
1.0360000000000582,-0.016,0.006,0.004
1.0360000000000582,-0.017,0.006,0.004
1.0429999999978463,-0.047,0.005,0.004
1.0429999999978463,-0.049,0.005,0.004
1.0520000000033178,-0.051,0.005,0.004
1.059000000001106,-0.013,0.005,0.004
1.059000000001106,-0.011,0.005,0.004
1.059000000001106,-0.01,0.005,0.004
1.0679999999993015,0.021,0.005,0.004
1.0679999999993015,0.024,0.005,0.004
1.0840000000025611,-0.029,0.005,0.004
1.0840000000025611,-0.034,0.005,0.004
1.0910000000003492,0.023,0.005,0.004
1.0910000000003492,0.027,0.005,0.004
1.0910000000003492,0.028,0.005,0.004
1.0999999999985448,-0.02,0.005,0.004
1.0999999999985448,-0.024,0.005,0.004
1.1160000000018044,-0.032,0.004,0.004
1.1229999999995925,-0.037,0.004,0.004
1.1229999999995925,-0.038,0.004,0.004
1.131999999997788,-0.012,0.004,0.004
1.131999999997788,-0.01,0.004,0.004
1.1390000000028522,-0.011,0.004,0.004
1.1480000000010477,0.013,0.004,0.004
1.1480000000010477,0.015,0.004,0.004
1.1549999999988358,0.016,0.004,0.004
1.1549999999988358,0.017,0.004,0.004
1.1639999999970314,-0.019,0.004,0.004
1.1639999999970314,-0.022,0.004,0.004
1.180000000000291,0.046,0.004,0.004
1.180000000000291,0.051,0.004,0.004
1.180000000000291,0.052,0.004,0.004
1.1869999999980791,0.028,0.004,0.004
1.1869999999980791,0.026,0.004,0.004
1.1959999999962747,0.029,0.005,0.004
1.2030000000013388,-0.045,0.005,0.004
1.2030000000013388,-0.051,0.005,0.004
1.2119999999995343,-0.023,0.004,0.005
1.2119999999995343,-0.021,0.004,0.005
1.2119999999995343,-0.02,0.004,0.005
1.228000000002794,0.0,0.004,0.005
1.228000000002794,0.002,0.004,0.005
1.2439999999987776,0.019,0.004,0.005
1.2439999999987776,0.02,0.004,0.005
1.2509999999965657,-0.028,0.004,0.005
1.2509999999965657,-0.032,0.004,0.005
1.2600000000020373,0.041,0.004,0.005
1.2600000000020373,0.047,0.004,0.005
1.275999999998021,0.02,0.005,0.005
1.275999999998021,0.018,0.005,0.005
1.2920000000012806,-0.021,0.005,0.005
1.2920000000012806,-0.024,0.005,0.005
1.2920000000012806,-0.025,0.005,0.005
1.2989999999990687,0.033,0.005,0.005
1.2989999999990687,0.037,0.005,0.005
1.2989999999990687,0.038,0.005,0.005
1.3079999999972642,-0.0,0.005,0.005
1.3079999999972642,-0.003,0.005,0.005
1.3240000000005239,0.021,0.005,0.005
1.3240000000005239,0.023,0.005,0.005
1.3399999999965075,-0.011,0.005,0.005
1.3399999999965075,-0.014,0.005,0.005
1.3470000000015716,0.002,0.005,0.005
1.3470000000015716,0.003,0.005,0.005
1.3559999999997672,0.021,0.005,0.005
1.3559999999997672,0.023,0.005,0.005
1.3720000000030268,0.013,0.005,0.005
1.3720000000030268,0.012,0.005,0.005
1.379000000000815,-0.012,0.005,0.005
1.379000000000815,-0.014,0.005,0.005
1.3879999999990105,0.042,0.006,0.005
1.3879999999990105,0.046,0.006,0.005
1.3879999999990105,0.047,0.006,0.005
1.3949999999967986,0.001,0.006,0.005
1.3949999999967986,-0.002,0.006,0.005
1.3960000000006403,-0.003,0.006,0.005
1.40400000000227,-0.031,0.006,0.005
1.40400000000227,-0.034,0.006,0.005
1.4110000000000582,-0.041,0.005,0.005
1.4199999999982538,-0.027,0.005,0.006
1.4199999999982538,-0.026,0.005,0.006
1.423000000002503,-0.038,0.005,0.006
1.4320000000006985,-0.022,0.005,0.006
1.4320000000006985,-0.021,0.005,0.006
1.4479999999966822,0.026,0.005,0.006
1.4479999999966822,0.03,0.005,0.006
1.4639999999999418,0.006,0.005,0.006
1.4639999999999418,0.004,0.005,0.006
1.4639999999999418,0.003,0.005,0.006
1.4800000000032014,0.012,0.005,0.006
1.4800000000032014,0.013,0.005,0.006
1.495999999999185,-0.021,0.005,0.006
1.495999999999185,-0.024,0.005,0.006
1.5029999999969732,0.02,0.005,0.006
1.5029999999969732,0.024,0.005,0.006
1.5120000000024447,0.001,0.005,0.006
1.5120000000024447,-0.001,0.005,0.006
1.5279999999984284,0.014,0.005,0.006
1.5279999999984284,0.016,0.005,0.006
1.544000000001688,-0.021,0.005,0.006
1.544000000001688,-0.023,0.005,0.006
1.544000000001688,-0.024,0.005,0.006
1.5509999999994761,0.007,0.005,0.006
1.5509999999994761,0.01,0.005,0.006
1.5599999999976717,0.013,0.005,0.006
1.5599999999976717,0.014,0.005,0.006
1.5760000000009313,-0.01,0.005,0.006
1.5760000000009313,-0.012,0.005,0.006
1.591999999996915,-0.001,0.005,0.006
1.591999999996915,-0.0,0.005,0.006
1.5999999999985448,0.01,0.005,0.006
1.5999999999985448,0.011,0.005,0.006
1.606999999996333,-0.022,0.005,0.006
1.606999999996333,-0.025,0.005,0.006
1.6160000000018044,-0.041,0.005,0.007
1.6160000000018044,-0.042,0.005,0.007
1.6229999999995925,0.003,0.005,0.007
1.6229999999995925,0.007,0.005,0.007
1.631999999997788,0.031,0.005,0.007
1.631999999997788,0.032,0.005,0.007
1.631999999997788,0.033,0.005,0.007
1.6480000000010477,0.004,0.005,0.007
1.6480000000010477,0.001,0.005,0.007
1.6639999999970314,0.012,0.005,0.007
1.6639999999970314,0.013,0.005,0.007
1.680000000000291,0.001,0.005,0.007
1.680000000000291,0.0,0.005,0.007
1.6869999999980791,-0.003,0.005,0.007
1.6959999999962747,-0.033,0.005,0.007
1.6959999999962747,-0.035,0.005,0.007
1.6959999999962747,-0.036,0.005,0.007
1.7030000000013388,-0.002,0.005,0.007
1.7030000000013388,0.023,0.005,0.007
1.7030000000013388,0.026,0.005,0.007
1.7119999999995343,-0.019,0.005,0.007
1.7119999999995343,-0.023,0.005,0.007
1.7189999999973224,0.001,0.005,0.007
1.7189999999973224,0.003,0.005,0.007
1.7249999999985448,0.027,0.005,0.007
1.7249999999985448,0.029,0.005,0.007
1.7379999999975553,0.011,0.005,0.007
1.739000000001397,0.01,0.005,0.007
1.7399999999979627,0.014,0.005,0.007
1.7470000000030268,-0.017,0.005,0.007
1.7470000000030268,-0.02,0.005,0.007
1.7560000000012224,-0.003,0.005,0.007
1.7560000000012224,-0.002,0.005,0.007
1.7629999999990105,0.012,0.005,0.007
1.7629999999990105,0.013,0.005,0.007
1.771999999997206,-0.015,0.005,0.007
1.771999999997206,-0.017,0.005,0.007
1.77900000000227,-0.027,0.005,0.007
1.77900000000227,-0.028,0.005,0.007
1.7880000000004657,0.011,0.005,0.007
1.7880000000004657,0.014,0.005,0.007
1.7949999999982538,-0.008,0.005,0.007
1.7949999999982538,-0.01,0.005,0.007
1.8039999999964493,0.021,0.005,0.008
1.8039999999964493,0.023,0.005,0.008
1.819999999999709,0.005,0.005,0.008
1.819999999999709,0.004,0.005,0.008
1.819999999999709,0.003,0.005,0.008
1.8249999999970896,-0.01,0.005,0.008
1.8249999999970896,-0.012,0.005,0.008
1.8389999999999418,-0.031,0.005,0.008
1.8389999999999418,-0.033,0.005,0.008
1.8479999999981374,0.019,0.005,0.008
1.8479999999981374,0.023,0.005,0.008
1.8479999999981374,0.024,0.005,0.008
1.8550000000032014,-0.01,0.005,0.008
1.8550000000032014,-0.013,0.005,0.008
1.864000000001397,-0.032,0.005,0.008
1.8649999999979627,-0.034,0.005,0.008
1.8799999999973807,0.006,0.005,0.008
1.8799999999973807,0.009,0.005,0.008
1.8870000000024447,-0.011,0.005,0.008
1.8879999999990105,-0.013,0.005,0.008
